NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100; PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32; TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE; TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT; UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP; FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S; FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM; INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT; HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM; NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
 95078001;PONTOISE - AERO;49.090333;2.028500;87;202301;55.2;1;31;;10.2;1;14;10;5;1;0;0;0;1018.2;1;31;985.9;1;16;8.1;1;31;;14.7;1;1;0.8;1;25;0;0;0;0;31;31;0;3.1;1;31;;-5.0;1;29;10.9;1;1;1;0;29;31;31;0;0;10;5.0;1;11.9;1;31;31;5.6;1;31;5.6;1;31;0;-0.2;1;29;12.8;1;1;55;1;1;31;99;1;31;31;87;1;31;8.2;9;31;;;22.0;1;200;1;16;22;4;0;31;20.4;1;;0;16;19;4;0;31;13.4;1;190;1;16;19;5;0;31;4.7;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;;1;4
 95078001;PONTOISE - AERO;49.090333;2.028500;87;202302;2.8;1;28;;2.4;1;22;1;0;0;0;0;0;1029.2;1;28;1011.6;1;24;10.3;1;28;;15.5;1;17;5.5;1;28;0;0;0;0;28;28;0;1.6;1;28;;-7.1;1;9;10.6;1;17;2;0;26;28;28;0;0;11;8.7;1;17.6;1;14;28;5.9;1;28;5.3;1;28;0;-0.1;1;9;13.1;1;17;36;1;27;28;100;1;21;28;81;1;28;7.5;9;28;;;16.5;1;40;1;26;12;1;0;28;15.9;1;;0;26;11;0;0;28;11.9;1;40;1;26;6;2;0;28;3.2;1;28;;;0;;;;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;;0;7
 95078001;PONTOISE - AERO;49.090333;2.028500;87;202303;45.9;1;31;;11.3;1;7;13;3;1;0;0;0;1011.4;1;31;992.3;1;8;12.9;1;31;;20.2;1;29;6.5;1;4;0;0;0;0;30;31;0;4.8;1;31;;-3.6;1;1;11.8;1;30;0;0;27;31;31;0;0;4;8.0;1;14.2;1;16;31;8.8;1;31;8.7;1;31;0;1.8;1;4;14.9;1;30;37;1;16;31;99;1;18;31;76;1;31;8.7;9;31;;;26.3;1;260;1;24;21;9;0;31;22.9;1;;0;24;20;9;0;31;14.8;1;240;1;24;18;11;0;31;4.8;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;;2;1
 95078001;PONTOISE - AERO;49.090333;2.028500;87;202304;61.3;1;30;;18.5;1;14;9;4;2;0;0;0;1016.6;1;30;1001.8;1;12;14.4;1;30;;21.1;1;28;8.5;1;14;0;0;0;0;29;30;0;4.4;1;30;;-3.5;1;5;13.5;1;28;0;0;29;30;30;0;0;4;10.0;1;19.3;1;9;30;9.4;1;30;9.2;1;30;0;4.6;1;14;17.3;1;28;30;1;5;30;99;1;29;30;78;1;30;9.1;9;30;;;24.8;1;250;1;23;18;3;0;30;23.9;1;;0;23;18;2;0;30;15.9;1;230;1;23;9;3;1;30;3.7;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;;0;0
 95078001;PONTOISE - AERO;49.090333;2.028500;87;202305;30.3;1;31;;12.7;1;9;8;2;1;0;0;0;1020.4;1;31;1013.4;1;9;19.8;1;31;;25.8;1;28;14.2;1;12;0;2;0;0;17;31;0;8.6;1;31;;4.1;1;16;12.9;1;7;0;0;23;31;31;0;0;0;11.2;1;16.1;1;4;31;14.2;1;31;14.1;1;31;0;10.4;1;16;18.1;1;31;32;1;30;31;99;1;15;31;73;1;31;11.5;9;31;;;13.5;1;60;1;29;21;0;0;31;13.1;1;;0;29;19;0;0;31;9.6;1;50;1;29;9;0;0;31;4.0;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;;1;2
 95078001;PONTOISE - AERO;49.090333;2.028500;87;202306;40.2;1;30;;12.8;1;18;6;3;1;0;0;0;1016.3;1;30;1009.4;1;9;26.8;1;30;;33.6;1;25;19.8;1;2;0;22;3;0;1;16;1;12.9;1;30;;9.0;1;27;18.3;1;29;0;0;4;22;30;0;0;0;13.8;1;20.3;1;25;30;19.9;1;30;20.0;1;30;1;14.4;1;2;23.5;1;25;24;1;14;30;99;1;30;30;66;1;30;14.7;9;30;;;23.3;1;230;1;18;16;1;0;30;21.8;1;;0;18;13;1;0;30;11.9;1;250;1;18;1;1;0;30;3.1;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;;3;1
 95078001;PONTOISE - AERO;49.090333;2.028500;87;202307;64.2;1;31;;22.2;1;31;7;5;1;0;0;0;1014.0;1;31;1006.1;1;24;25.3;1;31;;33.1;1;8;19.3;1;31;0;16;4;0;1;24;1;13.1;1;31;;6.7;1;22;19.3;1;15;0;0;7;20;31;0;0;0;12.3;1;20.8;1;18;31;19.2;1;31;19.2;1;31;1;16.1;1;22;25.5;1;8;24;1;10;31;100;1;20;31;67;1;31;14.3;9;31;;;19.3;1;260;9;4;25;3;0;31;17.7;1;;0;15;20;2;0;31;11.0;1;230;1;15;9;2;0;31;3.6;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;;2;1
 95078001;PONTOISE - AERO;49.090333;2.028500;87;202308;72.7;1;31;;29.5;1;1;11;5;2;0;0;0;1014.9;1;31;996.2;1;2;24.5;1;31;;31.4;1;23;18.8;1;31;0;13;4;0;3;21;0;13.7;1;31;;8.2;1;29;21.4;1;19;0;0;5;20;29;2;0;0;10.9;1;17.7;1;22;31;19.1;1;31;18.7;1;31;0;13.5;1;31;24.8;1;19;37;1;21;31;100;1;29;31;76;1;31;16.2;9;31;;;24.9;1;230;1;2;10;2;0;31;22.2;1;;0;2;9;1;0;31;13.6;1;230;1;2;6;2;0;31;3.1;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;;3;2
 95078001;PONTOISE - AERO;49.090333;2.028500;87;202309;64.5;1;30;;18.0;1;21;7;4;3;0;0;0;1015.7;1;30;998.4;1;21;25.8;1;30;;35.5;1;8;17.0;1;22;0;15;7;3;4;19;6;13.0;1;30;;5.2;1;24;17.0;1;10;0;0;5;22;30;0;0;0;12.8;1;21.1;1;7;30;19.4;1;30;18.9;1;30;3;12.9;1;24;26.0;1;10;25;1;10;30;100;1;30;30;76;1;30;16.0;9;30;;;14.6;1;220;1;20;12;0;0;30;14.2;1;;0;20;10;0;0;30;10.0;1;250;1;18;5;1;0;30;2.6;1;30;;;0;;;;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;;2;4
 95078001;PONTOISE - AERO;49.090333;2.028500;87;202310;88.6;1;31;;14.9;1;24;14;8;2;0;0;0;1010.1;1;31;980.4;1;20;19.2;1;31;;28.2;1;2;11.7;1;23;0;8;0;0;20;28;0;8.9;1;31;;1.2;1;16;17.0;1;13;0;0;20;29;31;0;0;0;10.2;1;20.0;1;10;31;14.0;1;31;13.7;1;31;0;7.0;1;16;21.6;1;13;32;1;9;31;100;1;31;31;81;1;31;12.5;9;31;;;22.8;1;210;9;28;12;4;0;31;21.3;1;;0;28;10;4;0;31;15.4;1;220;9;28;10;5;1;31;3.2;1;31;;;0;;;;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;;0;5
